step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
301,1.2541666666666667,0.5214500212065631,-0.8395212464836788,-201.03536813470427,0.5214500212065631,-0.8395212464836788,-201.03536813470427,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,0.8395209908485413,0.8395209908485413,0.8395212292671204,0.8395212292671204,0.501279890537262,0.5018916130065918,-6.180346965789795,-6.005056858062744,0.0,0.0,0.0,0.0,nan,nan,1.9837851524353027,1.9837851524353027,3.9675703048706055,0.0,7.072463035583496,0.2568984925746918,0.0,0.0,0.0,0.2568984925746918,0.0,7.072463035583496,0.0,0.0,0.0,-1.4119973182678223,2.979334592819214,6.262232780456543,0.0,0.0,0.0,0.0,7.072463035583496,0.2568984925746918,0.0,0.0,0.0,0.2568984925746918,0.0,7.072463035583496,-0.0,-0.0,-0.0,-1.411996603012085,-2.9793357849121094,6.262232303619385,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.6000000238418579,-2.8239939212799072,-1.1920928955078125e-06,12.524465560913086,0.0,0.0,0.0,3.8743019104003906e-07,1.4463753359450493e-06,5.960464477539063e-08,13.148580551147461,13.148577690124512,14.973248481750488,14.973248481750488,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.376644611358643,4.376644611358643,2.6958184242248535,2.6958184242248535,0.39260613918304443,0.39260613918304443,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.2568984925746918,0.2568984925746918,0.38922742009162903,0.38922742009162903,-0.12437839806079865,-0.12437839806079865,0.13742101192474365,0.13742101192474365,4.849314212799072,4.849314212799072,-3.80353045463562,-3.80353045463562,11.1964693069458,11.1964693069458,15.000000953674316,15.000000953674316,0.0,0.0,180.0
302,1.2583333333333333,0.5162117913468087,-1.6734264976386646,-199.01586592854218,0.5162117913468087,-1.6734264976386646,-199.01586592854218,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,1.6734263896942139,1.6734257936477661,1.6734265089035034,1.673426628112793,0.4935327470302582,0.4940825402736664,-6.552896499633789,-6.400613784790039,0.0,0.0,0.0,0.0,nan,nan,4.357949256896973,4.357949256896973,8.715898513793945,0.0,7.660367965698242,0.3713024854660034,0.0,0.0,0.0,0.3713024854660034,0.0,7.660367965698242,0.0,0.0,0.0,-1.4438424110412598,3.190558671951294,6.8231048583984375,0.0,0.0,0.0,0.0,7.660367965698242,0.3713024854660034,0.0,0.0,0.0,0.3713024854660034,0.0,7.660367965698242,-0.0,-0.0,-0.0,-1.443841814994812,-3.190559148788452,6.823104381561279,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.05600002408027649,0.6000000238418579,-9.685754776000977e-08,-0.055999964475631714,0.5999999642372131,-2.8876843452453613,-4.76837158203125e-07,13.646209716796875,0.0,0.0,0.0,2.384185791015625e-07,1.6111423519760137e-06,3.129243850708008e-07,11.415350914001465,11.4153470993042,14.946603775024414,14.946590423583984,1.0,1.0,0.0,0.0,0.0,0.0,0.00794259924441576,0.00794259924441576,5.017526626586914,5.017526626586914,2.6687376499176025,2.6687376499176025,0.514173150062561,0.514173150062561,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.3713024854660034,0.3713024854660034,0.38922742009162903,0.38922742009162903,-0.10473597794771194,-0.10473597794771194,0.15706343948841095,0.15706343948841095,9.666190147399902,9.666190147399902,-1.0097589492797852,-1.0097589492797852,13.990242004394531,13.990242004394531,15.000000953674316,15.000000953674316,0.0,0.0,180.0
303,1.2625,0.5075203516713855,-2.4961373264570943,-195.66504283196562,0.5075203516713855,-2.4961373264570943,-195.66504283196562,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,2.496136426925659,2.4961371421813965,2.4961376190185547,2.4961376190185547,0.48257189989089966,0.48305544257164,-6.867546558380127,-6.739006996154785,0.0,0.0,0.0,0.0,nan,nan,6.83540153503418,6.83540153503418,13.67080307006836,0.0,8.070430755615234,0.46173369884490967,0.0,0.0,0.0,0.46173369884490967,0.0,8.070430755615234,0.0,0.0,0.0,-1.4604700803756714,3.297457695007324,7.234559535980225,0.0,0.0,0.0,0.0,8.070430755615234,0.46173369884490967,0.0,0.0,0.0,0.46173369884490967,0.0,8.070430755615234,-0.0,-0.0,-0.0,-1.4604699611663818,-3.297459602355957,7.234559059143066,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.564621925354004e-07,0.05600002408027649,0.5999999642372131,2.2351741790771484e-08,-0.055999934673309326,0.6000000238418579,-2.9209399223327637,-1.9073486328125e-06,14.469118118286133,0.0,0.0,0.0,8.642673492431641e-07,1.704100895949523e-06,-4.544854164123535e-07,9.981048583984375,9.981051445007324,14.920044898986816,14.920044898986816,1.0,1.0,0.0,0.0,0.0,0.0,0.06213124841451645,0.06213124841451645,5.665874481201172,5.665874481201172,2.6238040924072266,2.6238040924072266,0.6591300964355469,0.6591300964355469,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.46173369884490967,0.46173369884490967,0.38922742009162903,0.38922742009162903,-0.08512929826974869,-0.08512929826974869,0.1766701191663742,0.1766701191663742,14.418402671813965,14.418402671813965,1.7485744953155518,1.7485744953155518,16.74857521057129,16.74857521057129,15.000000953674316,15.000000953674316,0.0,0.0,180.0
304,1.2666666666666666,0.4954338437518395,-3.3021501912586815,-191.00531424772532,0.4954338437518395,-3.3021501912586815,-191.00531424772532,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,3.3021490573883057,3.302149534225464,3.3021504878997803,3.3021504878997803,0.46884602308273315,0.4692566394805908,-7.062006950378418,-6.956592559814453,0.0,0.0,0.0,0.0,nan,nan,8.326752662658691,8.326752662658691,16.653505325317383,0.0,7.744865417480469,0.3848269283771515,0.0,0.0,0.0,0.3848269283771515,0.0,7.744865417480469,0.0,0.0,0.0,-1.467613697052002,3.0787665843963623,6.964075088500977,0.0,0.0,0.0,0.0,7.744865417480469,0.3848269283771515,0.0,0.0,0.0,0.3848269283771515,0.0,7.744865417480469,-0.0,-0.0,-0.0,-1.4676134586334229,-3.0787675380706787,6.964074611663818,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-07,0.0559999942779541,0.5999999046325684,-1.043081283569336e-07,-0.055999934673309326,0.6000000238418579,-2.935227155685425,-9.5367431640625e-07,13.928150177001953,0.0,0.0,0.0,8.046627044677734e-07,2.561727569627692e-06,-3.725290298461914e-08,9.105626106262207,9.105627059936523,14.893678665161133,14.89366626739502,1.0,1.0,0.0,0.0,0.0,0.0,0.296124666929245,0.296124666929245,6.318700790405273,6.318700790405273,2.561318874359131,2.561318874359131,0.8268604874610901,0.8268604874610901,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.3848269283771515,0.3848269283771515,0.38922742009162903,0.38922742009162903,-0.06568951904773712,-0.06568951904773712,0.19610990583896637,0.19610990583896637,19.07416343688965,19.07416343688965,4.453021049499512,4.453021049499512,19.453020095825195,19.453020095825195,15.000000953674316,15.000000953674316,0.0,0.0,180.0
305,1.2708333333333333,0.4800331205413278,-4.086073251750461,-185.06785152981806,0.4800331205413278,-4.086073251750461,-185.06785152981806,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,4.086071491241455,4.086073398590088,4.086073398590088,4.086073398590088,0.4519239664077759,0.45225921273231506,-7.218827724456787,-7.137434482574463,0.0,0.0,0.0,0.0,nan,nan,9.966840744018555,9.966840744018555,19.93368148803711,0.0,7.4590744972229,0.2701701819896698,0.0,0.0,0.0,0.2701701819896698,0.0,7.4590744972229,0.0,0.0,0.0,-1.5220998525619507,2.8594017028808594,6.724419593811035,0.0,0.0,0.0,0.0,7.4590744972229,0.2701701819896698,0.0,0.0,0.0,0.2701701819896698,0.0,7.4590744972229,-0.0,-0.0,-0.0,-1.522099256515503,-2.859403610229492,6.724418640136719,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.0116567611694336e-07,0.05600002408027649,0.5999999046325684,7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,-3.044198989868164,-1.9073486328125e-06,13.448838233947754,0.0,0.0,0.0,9.834766387939453e-07,2.0852799025306012e-06,-4.246830940246582e-07,8.849207878112793,8.84920883178711,14.867575645446777,14.867575645446777,1.0,1.0,0.0,0.0,0.0,0.0,0.5079392194747925,0.5079392194747925,6.972657203674316,6.972657203674316,2.4816994667053223,2.4816994667053223,1.0161912441253662,1.0161912441253662,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.2701701819896698,0.2701701819896698,0.38922742009162903,0.38922742009162903,-0.046546682715415955,-0.046546682715415955,0.21525272727012634,0.21525272727012634,23.60232925415039,23.60232925415039,7.085487365722656,7.085487365722656,22.08548927307129,22.08548927307129,15.000000953674316,15.000000953674316,0.0,0.0,180.0
306,1.275,0.46142120550705984,-4.84266243785771,-177.89237346204806,0.46142120550705984,-4.84266243785771,-177.89237346204806,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,4.842662334442139,4.842662334442139,4.842662811279297,4.842662811279297,0.4317111670970917,0.4319709837436676,-7.370232582092285,-7.314260959625244,0.0,0.0,0.0,0.0,nan,nan,12.228750228881836,12.228750228881836,24.457500457763672,0.0,7.521762847900391,0.20798461139202118,0.0,0.0,0.0,0.20798461139202118,0.0,7.521762847900391,0.0,0.0,0.0,-1.6107290983200073,2.7536439895629883,6.81492280960083,0.0,0.0,0.0,0.0,7.521762847900391,0.20798461139202118,0.0,0.0,0.0,0.20798461139202118,0.0,7.521762847900391,-0.0,-0.0,-0.0,-1.6107289791107178,-2.7536449432373047,6.814922332763672,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.2351741790771484e-08,0.05600002408027649,0.5999999642372131,5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,-3.2214579582214355,-9.5367431640625e-07,13.629844665527344,0.0,0.0,0.0,5.960464477539062e-07,5.022079676564317e-07,-1.043081283569336e-07,9.050073623657227,9.050073623657227,15.335383415222168,15.335383415222168,0.9979436993598938,0.9979436993598938,0.002056337660178542,0.002056337660178542,0.0,0.0,0.6212068796157837,0.6212068796157837,7.623985290527344,7.623985290527344,2.3854784965515137,2.3854784965515137,1.2253530025482178,1.2253530025482178,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.20798461139202118,0.20798461139202118,0.38922742009162903,0.38922742009162903,-0.02782885916531086,-0.02782885916531086,0.2339705377817154,0.2339705377817154,27.97260284423828,27.97260284423828,9.628364562988281,9.628364562988281,24.62836456298828,24.62836456298828,15.000000953674316,15.000000953674316,0.0,0.0,180.0
307,1.2791666666666666,0.43972260345261066,-5.566856530042847,-169.52688055837314,0.43972260345261066,-5.566856530042847,-169.52688055837314,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,5.566854476928711,5.5668559074401855,5.566856384277344,5.566856384277344,0.4084891974925995,0.4086726903915405,-7.491785526275635,-7.461994647979736,0.0,0.0,0.0,0.0,nan,nan,14.806666374206543,14.806666374206543,29.613332748413086,0.0,7.71636962890625,0.1683460772037506,0.0,0.0,0.0,0.1683460772037506,0.0,7.71636962890625,0.0,0.0,0.0,-1.7113139629364014,2.6684231758117676,7.0371599197387695,0.0,0.0,0.0,0.0,7.71636962890625,0.1683460772037506,0.0,0.0,0.0,0.1683460772037506,0.0,7.71636962890625,-0.0,-0.0,-0.0,-1.7113138437271118,-2.6684248447418213,7.037159442901611,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.5999999642372131,-2.9802322387695312e-08,-0.055999964475631714,0.6000000238418579,-3.4226279258728027,-1.6689300537109375e-06,14.074319839477539,0.0,0.0,0.0,6.258487701416016e-07,1.5176373153735767e-06,-2.9802322387695312e-08,9.530126571655273,9.53012752532959,18.90024757385254,18.90024757385254,0.9468622207641602,0.9468622207641602,0.05313779413700104,0.05313779413700104,0.0,0.0,0.6925286650657654,0.6925286650657654,8.2684965133667,8.2684965133667,2.2733001708984375,2.2733001708984375,1.4519553184509277,1.4519553184509277,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.1683460772037506,0.1683460772037506,0.38922742009162903,0.38922742009162903,-0.009661242365837097,-0.009661242365837097,0.2521381676197052,0.2521381676197052,32.15575408935547,32.15575408935547,12.064640998840332,12.064640998840332,27.06464195251465,27.06464195251465,15.000000953674316,15.000000953674316,0.0,0.0,180.0
308,1.2833333333333332,0.4150824676403751,-6.253811016441746,-160.02733396244037,0.4150824676403751,-6.253811016441746,-160.02733396244037,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,6.253809452056885,6.253810405731201,6.253810882568359,6.253810882568359,0.38244950771331787,0.38255614042282104,-7.576859951019287,-7.573723793029785,0.0,0.0,0.0,0.0,nan,nan,17.596824645996094,17.596824645996094,35.19364929199219,0.0,7.987977981567383,0.14542588591575623,0.0,0.0,0.0,0.14542588591575623,0.0,7.987977981567383,0.0,0.0,0.0,-1.8164392709732056,2.576846122741699,7.340936660766602,0.0,0.0,0.0,0.0,7.987977981567383,0.14542588591575623,0.0,0.0,0.0,0.14542588591575623,0.0,7.987977981567383,-0.0,-0.0,-0.0,-1.8164395093917847,-2.576847553253174,7.340935707092285,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.05600002408027649,0.5999999642372131,-3.725290298461914e-08,-0.0559999942779541,0.6000000238418579,-3.6328787803649902,-1.430511474609375e-06,14.681872367858887,0.0,0.0,0.0,4.172325134277344e-07,1.7490953041487955e-06,-1.1175870895385742e-07,10.160283088684082,10.160284996032715,22.21261978149414,22.212614059448242,0.874330997467041,0.874330997467041,0.12566909193992615,0.12566909193992615,0.0,0.0,0.7357125878334045,0.7357125878334045,8.90158462524414,8.90158462524414,2.145914077758789,2.145914077758789,1.6929771900177002,1.6929771900177002,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.14542588591575623,0.14542588591575623,0.38922742009162903,0.38922742009162903,0.007834626361727715,0.007834626361727715,0.2696340084075928,0.2696340084075928,36.123802185058594,36.123802185058594,14.378018379211426,14.378018379211426,29.37801742553711,29.37801742553711,15.000000953674316,15.000000953674316,0.0,0.0,180.0
309,1.2875,0.38766562878571414,-6.89893050032946,-149.45728109431852,0.38766562878571414,-6.89893050032946,-149.45728109431852,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,6.898929595947266,6.898930072784424,6.898930549621582,6.898930549621582,0.3537996709346771,0.35382911562919617,-7.619539260864258,-7.643240451812744,0.0,0.0,0.0,0.0,nan,nan,20.495529174804688,20.495529174804688,40.991058349609375,0.0,8.285331726074219,0.1305188238620758,0.0,0.0,0.0,0.1305188238620758,0.0,8.285331726074219,0.0,0.0,0.0,-1.9218857288360596,2.4567782878875732,7.676871299743652,0.0,0.0,0.0,0.0,8.285331726074219,0.1305188238620758,0.0,0.0,0.0,0.1305188238620758,0.0,8.285331726074219,-0.0,-0.0,-0.0,-1.9218857288360596,-2.4567792415618896,7.676870822906494,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.0559999942779541,0.5999999642372131,-2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,-3.843771457672119,-9.5367431640625e-07,15.353742599487305,0.0,0.0,0.0,4.172325134277344e-07,1.4872848623781465e-06,-5.21540641784668e-08,10.854937553405762,10.854938507080078,25.21599006652832,25.21599006652832,0.8122940063476562,0.8122940063476562,0.18770600855350494,0.18770600855350494,0.0,0.0,0.7646980285644531,0.7646980285644531,9.51826000213623,9.51826000213623,2.0041732788085938,2.0041732788085938,1.9447858333587646,1.9447858333587646,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.1305188238620758,0.1305188238620758,0.38922742009162903,0.38922742009162903,0.024541715160012245,0.024541715160012245,0.2863411009311676,0.2863411009311676,39.85019302368164,39.85019302368164,16.553022384643555,16.553022384643555,31.553022384643555,31.553022384643555,15.000000953674316,15.000000953674316,0.0,0.0,180.0
310,1.2916666666666667,0.3576554924183658,-7.497899441124741,-137.88743054867507,0.3576554924183658,-7.497899441124741,-137.88743054867507,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,7.497900485992432,7.497900009155273,7.497899532318115,7.497899532318115,0.32276391983032227,0.3227161765098572,-7.614312171936035,-7.664760112762451,0.0,0.0,0.0,0.0,nan,nan,23.395572662353516,23.395572662353516,46.79114532470703,0.0,8.558215141296387,0.11341399699449539,0.0,0.0,0.0,0.11341399699449539,0.0,8.558215141296387,0.0,0.0,0.0,-2.024614095687866,2.291306734085083,7.994170665740967,0.0,0.0,0.0,0.0,8.558215141296387,0.11341399699449539,0.0,0.0,0.0,0.11341399699449539,0.0,8.558215141296387,-0.0,-0.0,-0.0,-2.024613857269287,-2.2913084030151367,7.994170188903809,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,2.2351741790771484e-08,0.05600002408027649,0.6000000238418579,3.725290298461914e-08,-0.055999934673309326,0.6000000238418579,-4.049227714538574,-1.6689300537109375e-06,15.988340377807617,0.0,0.0,0.0,7.152557373046875e-07,2.3824483719181444e-07,1.564621925354004e-07,11.558348655700684,11.558348655700684,27.891584396362305,27.891584396362305,0.7453797459602356,0.7453797459602356,0.2546203136444092,0.2546203136444092,0.0,0.0,0.7938439249992371,0.7938439249992371,10.113218307495117,10.113218307495117,1.8490254878997803,1.8490254878997803,2.203181743621826,2.203181743621826,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.11341399699449539,0.11341399699449539,0.38922742009162903,0.38922742009162903,0.040348246693611145,0.040348246693611145,0.30214765667915344,0.30214765667915344,43.31001281738281,43.31001281738281,18.575103759765625,18.575103759765625,33.57510757446289,33.57510757446289,15.000000953674316,15.000000953674316,0.0,0.0,180.0
311,1.2958333333333334,0.3252528119872242,-8.046711023291236,-125.39517908811696,0.3252528119872242,-8.046711023291236,-125.39517908811696,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,8.046711921691895,8.046708106994629,8.046710968017578,8.046710968017578,0.28952205181121826,0.28939762711524963,-7.565702438354492,-7.642707347869873,0.0,0.0,0.0,0.0,nan,nan,26.267471313476562,26.267471313476562,52.534942626953125,0.0,8.8460111618042,0.10637284070253372,0.0,0.0,0.0,0.10637284070253372,0.0,8.8460111618042,0.0,0.0,0.0,-2.1218833923339844,2.090991973876953,8.329981803894043,0.0,0.0,0.0,0.0,8.8460111618042,0.10637284070253372,0.0,0.0,0.0,0.10637284070253372,0.0,8.8460111618042,-0.0,-0.0,-0.0,-2.1218831539154053,-2.090994358062744,8.329981803894043,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,7.450580596923828e-09,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.05599990487098694,0.5999999642372131,-4.243766784667969,-2.384185791015625e-06,16.659963607788086,0.0,0.0,0.0,8.642673492431641e-07,1.80218057721504e-06,5.289912223815918e-07,12.234491348266602,12.234491348266602,30.239761352539062,30.239761352539062,0.7038754224777222,0.7038754224777222,0.296124666929245,0.296124666929245,0.0,0.0,0.8084741830825806,0.8084741830825806,10.680927276611328,10.680927276611328,1.6815083026885986,1.6815083026885986,2.463474988937378,2.463474988937378,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.10637284070253372,0.10637284070253372,0.38922742009162903,0.38922742009162903,0.055148493498563766,0.055148493498563766,0.31694790720939636,0.31694790720939636,46.4801025390625,46.4801025390625,20.430736541748047,20.430736541748047,35.43074035644531,35.43074035644531,15.000000953674316,15.000000953674316,0.0,0.0,180.0
312,1.3,0.29067434591585567,-8.541693960015552,-112.06409389589442,0.29067434591585567,-8.541693960015552,-112.06409389589442,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,8.541693687438965,8.541690826416016,8.541694641113281,8.541694641113281,0.2543288469314575,0.2541288733482361,-7.468799591064453,-7.571890354156494,0.0,0.0,0.0,0.0,nan,nan,28.993459701538086,28.993459701538086,57.98691940307617,0.0,9.09848403930664,0.0982995554804802,0.0,0.0,0.0,0.0982995554804802,0.0,9.09848403930664,0.0,0.0,0.0,-2.2110507488250732,1.8437488079071045,8.63156509399414,0.0,0.0,0.0,0.0,9.09848403930664,0.0982995554804802,0.0,0.0,0.0,0.0982995554804802,0.0,9.09848403930664,-0.0,-0.0,-0.0,-2.211050510406494,-1.8437503576278687,8.63156509399414,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.05600002408027649,0.6000000238418579,-2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,-4.422101020812988,-1.5497207641601562e-06,17.26313018798828,0.0,0.0,0.0,5.364418029785156e-07,1.2862034282079549e-06,1.2665987014770508e-07,12.860546112060547,12.860546112060547,32.27074432373047,32.270751953125,0.6758773326873779,0.6758773326873779,0.32412275671958923,0.32412275671958923,0.0,0.0,0.8231391906738281,0.8231391906738281,11.215740203857422,11.215740203857422,1.502742886543274,1.502742886543274,2.720592737197876,2.720592737197876,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.0982995554804802,0.0982995554804802,0.38922742009162903,0.38922742009162903,0.06884343922138214,0.06884343922138214,0.33064284920692444,0.33064284920692444,49.339263916015625,49.339263916015625,22.10750389099121,22.10750389099121,37.10750198364258,37.10750198364258,15.000000953674316,15.000000953674316,0.0,0.0,180.0
313,1.3041666666666667,0.25415140759238913,-8.979537052358921,-97.98335355144128,0.25415140759238913,-8.979537052358921,-97.98335355144128,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6400000000000002,0.0,0.0,4.0,3.1249999999999987,5.555555555555559,8.979533195495605,8.979536056518555,8.979537010192871,8.979537010192871,0.21742211282253265,0.21714794635772705,-7.3238935470581055,-7.452412128448486,0.0,0.0,0.0,0.0,nan,nan,31.496810913085938,31.496810913085938,62.993621826171875,0.0,9.310478210449219,0.08944924175739288,0.0,0.0,0.0,0.08944924175739288,0.0,9.310478210449219,0.0,0.0,0.0,-2.289586067199707,1.5525381565093994,8.89046859741211,0.0,0.0,0.0,0.0,9.310478210449219,0.08944924175739288,0.0,0.0,0.0,0.08944924175739288,0.0,9.310478210449219,-0.0,-0.0,-0.0,-2.289585828781128,-1.5525399446487427,8.89046859741211,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.9371509552001953e-07,0.05600002408027649,0.5999999642372131,4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,-4.579172134399414,-1.7881393432617188e-06,17.78093719482422,0.0,0.0,0.0,8.940696716308594e-07,2.2561227979167597e-06,-1.4901161193847656e-07,13.422736167907715,13.422738075256348,33.99938201904297,33.99938201904297,0.6477158665657043,0.6477158665657043,0.35228419303894043,0.35228419303894043,0.0,0.0,0.8378353118896484,0.8378353118896484,11.712013244628906,11.712013244628906,1.313924789428711,1.313924789428711,2.9692115783691406,2.9692115783691406,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.08944924175739288,0.08944924175739288,0.38922742009162903,0.38922742009162903,0.08134149014949799,0.08134149014949799,0.3431409001350403,0.3431409001350403,51.868370056152344,51.868370056152344,23.594192504882812,23.594192504882812,38.59419250488281,38.59419250488281,15.000000953674316,15.000000953674316,0.0,0.0,180.0
